# Revisit triggers from every packet (RULEBOOK.md §4.11), mapped to the FR-T.7 detector vocabulary. Generated by `node watch/freshness/revisit.mjs --tsv`; the reviewed_by column records who checked each mapping.
repo	n	text	detector	params	packet	reviewed_by
frankengraphdb	3	an independent benchmark or third-party deployment published	human		packets/frankengraphdb-assessment.md#L213	FreshCore (unreviewed)
frankengraphdb	4	a second human committer with merge rights	contributors.second_human		packets/frankengraphdb-assessment.md#L213	FreshCore (unreviewed)
frankengraphdb	5	the rider narrowed, dropped, or upheld in a dispute	human		packets/frankengraphdb-assessment.md#L213	FreshCore (unreviewed)
frankengraphdb	6	CI verdicts restored to automatic (or the local-proof pin-record contract from next step 4 operating for a month)	human		packets/frankengraphdb-assessment.md#L213	FreshCore (unreviewed)
frankenjax	1	A public CI workflow appears (any `.github/workflows/*.yml` in the repo) → re-run this packet's evidence section: green claims become CI-observed for the first time [External check]	ci.class	to=C1|C2|C3	packets/frankenjax-assessment.md#L237	FreshCore (unreviewed)
frankenjax	2	The rider is narrowed or removed (LICENSE diff) → the ring's advancement blocker lifts; re-score Strategic relevance and Impact potential [License check]	license.text		packets/frankenjax-assessment.md#L238	FreshCore (unreviewed)
frankenjax	3	A release artifact is published (crates.io publish or GitHub Release) → Adoption and Time-to-mainstream re-score; the "no release" ceiling lifts [External check]	human		packets/frankenjax-assessment.md#L239	FreshCore (unreviewed)
frankenjax	4	The 50 zero-gradient VJP arms are audited (placeholder count reaches zero per next step 3) → claim 1 in §4.3 upgrades from "partially demonstrated" to "verified" [Code check]	human		packets/frankenjax-assessment.md#L240	FreshCore (unreviewed)
frankenjax	5	A second implementation verifies a TTL artifact → next step 1's falsifiability condition resolves; Genesis-idea status confirmed or denied [External check]	human		packets/frankenjax-assessment.md#L241	FreshCore (unreviewed)
frankenjax	6	An independent benchmark appears (third-party numbers, or this program's own under a narrowed rider) → §4.5's independent column fills; the "honest but uninteresting" audit gets a second data point [External check]	human		packets/frankenjax-assessment.md#L242	FreshCore (unreviewed)
frankenjax	7	No fixture re-capture commit in 180 days (no oracle-fixture refresh by 2027-03-22) → treat all fidelity claims as stale; oracle drift becomes the dominant risk [Git/API check]	human		packets/frankenjax-assessment.md#L243	FreshCore (unreviewed)
frankenlibc	1	main CI green at a pin with substantive gates executed	ci.class	to=C1	packets/frankenlibc-assessment.md#L246	FreshCore (unreviewed)
frankenlibc	2	a tagged release or published artifact	human		packets/frankenlibc-assessment.md#L246	FreshCore (unreviewed)
frankenlibc	3	L2 standalone `.so` demonstrated without host glibc	human		packets/frankenlibc-assessment.md#L246	FreshCore (unreviewed)
frankenlibc	4	an independent third-party benchmark or deployment	human		packets/frankenlibc-assessment.md#L246	FreshCore (unreviewed)
frankenlibc	5	a second maintainer with merge rights	contributors.second_human		packets/frankenlibc-assessment.md#L246	FreshCore (unreviewed)
frankenlibc	6	a published runtime-math isolation measurement	human		packets/frankenlibc-assessment.md#L246	FreshCore (unreviewed)
frankenmermaid	1	first crates.io or npm publication	human		packets/frankenmermaid-assessment.md#L212	FreshCore (unreviewed)
frankenmermaid	2	any independent benchmark, code review, or production deployment	human		packets/frankenmermaid-assessment.md#L212	FreshCore (unreviewed)
frankenmermaid	3	a second human maintainer with merge rights	contributors.second_human		packets/frankenmermaid-assessment.md#L212	FreshCore (unreviewed)
frankenmermaid	4	any change to the license rider	license.text		packets/frankenmermaid-assessment.md#L212	FreshCore (unreviewed)
frankenmermaid	5	the quality gates becoming publicly observable (workflow files or public CI runs)	human		packets/frankenmermaid-assessment.md#L212	FreshCore (unreviewed)
frankenmermaid	6	mermaid-js shipping a fix for the large-graph `RangeError`	human		packets/frankenmermaid-assessment.md#L212	FreshCore (unreviewed)
frankenpandas	1	A tagged release or GitHub Release pointing at the assessed commit appears — `git for-each-ref refs/tags` / `gh release list` non-empty *at the assessed commit*. (v0.3.0 exists — released 2026-09-12 — but targets the earlier tag commit `0ad22f91`, so this stays open.)	human		packets/frankenpandas-assessment.md#L252	FreshCore (unreviewed)
frankenpandas	2	The 119/119 and 1484/1484 numerals get a checked-in instrument — a current `pandas_api_listing.json` (or equivalent) in-tree with the drift script green at the pin. Flips the headline parity claim from README-only to evidenced	human		packets/frankenpandas-assessment.md#L253	FreshCore (unreviewed)
frankenpandas	3	Rider narrowed or removed — LICENSE diff dropping the named-party restriction (and the destroy-copies clause). Flips usability for restricted parties and contributor-pool risk. v2/v3 note: bead `frankenpandas-dio8` (closed 2026-04-23) reviewed dropping the rider and the rider still stands at the pin — five months of post-review retention. Deliberate retention vs retention-by-default is adjudicated in §4.8 at [Inference, Medium]; either way, do not expect this trigger — treat any movement here as a genuine policy reversal [Code-verified, High on the bead; Inference, Medium on the expectation]	human		packets/frankenpandas-assessment.md#L254	FreshCore (unreviewed)
frankenpandas	4	A contributions on-ramp appears — the "About Contributions" refusal amended, or a second human committer with merge rights observable on the contributor graph. Flips succession risk. (The stranger ceiling — it requires a policy reversal, not just a hire.)	human		packets/frankenpandas-assessment.md#L255	FreshCore (unreviewed)
frankenpandas	5	The shared thread pool lands and the 10 certified losses are re-measured — the spawn-cost causal story confirmed or rejected per lane (next-step 5). Flips the concurrency pillar from story to evidence	human		packets/frankenpandas-assessment.md#L256	FreshCore (unreviewed)
frankenpandas	6	Independent benchmark or review published — any third party reproducing or contesting the certified-lane numbers. Flips "zero independent coverage."	human		packets/frankenpandas-assessment.md#L257	FreshCore (unreviewed)
frankenpandas	7	Conformance gate green at a pin — the live-oracle parity job passing with the current DISCREPANCIES ledger. Flips the red-gate judgment	human		packets/frankenpandas-assessment.md#L258	FreshCore (unreviewed)
frankenpandas	8	A Polars/pandas move collapses the differentiation — Polars shipping a pandas-compat API layer, or pandas 3.0 absorbing the "auditable alignment" story — the kill-test: differentiation collapses to "Rust, but slower to adopt" [Inference, Medium]	human		packets/frankenpandas-assessment.md#L259	FreshCore (unreviewed)
frankenpandas	9	Abandonment tripwire — no commits for 60 days or the CI workflows disabled/archived: re-ring to Monitor and treat the tree as a retired artifact	human		packets/frankenpandas-assessment.md#L260	FreshCore (unreviewed)
frankenredis	1	A tagged release or GitHub Release pointing at the assessed commit appears — `git for-each-ref refs/tags` / `gh release list` non-empty *at the assessed commit*. (v0.1.0 exists — released 2026-09-12 with 24 signed binary assets — but targets the earlier tag commit `c577c0ae`, so this stays open.) Flips the "no artifact to evaluate" judgment	human		packets/frankenredis-assessment.md#L250	FreshCore (unreviewed)
frankenredis	2	Bead `vibu6` un-deferred and re-baseline published — the README's disavowal sentence removed or amended with quiet-host numbers. Flips the benchmark pillar from disavowed to testable	human		packets/frankenredis-assessment.md#L251	FreshCore (unreviewed)
frankenredis	3	Rider narrowed or removed — LICENSE diff dropping the named-party restriction. Flips usability for restricted parties and contributor-pool risk. This is the advancement blocker for the Explore ceiling	human		packets/frankenredis-assessment.md#L252	FreshCore (unreviewed)
frankenredis	4	Second human committer with merge rights — bus factor > 1 observable on the contributor graph. Flips succession risk	contributors.second_human		packets/frankenredis-assessment.md#L253	FreshCore (unreviewed)
frankenredis	5	Cluster lands (a scope-gap closure) or the TLS scope exclusion is reversed (a decision reversal — bead `xzdbc`) — two distinct events: cluster closing a genuine roadmap gap (multi-node sharding is explicitly out of scope today) vs TLS landing only if the maintainer reverses the 2026-05-25 WONTFIX. Either changes the deployment envelope	human		packets/frankenredis-assessment.md#L254	FreshCore (unreviewed)
frankenredis	6	Independent benchmark or review published — any third party reproducing or contesting the numbers. Flips "zero independent coverage."	human		packets/frankenredis-assessment.md#L255	FreshCore (unreviewed)
frankenredis	7	RaptorQ sidecars on by default with recovery demonstrated in CI — the durability experiment graduates from optional to load-bearing	human		packets/frankenredis-assessment.md#L256	FreshCore (unreviewed)
frankenredis	8	A Valkey/Redis/Dragonfly/Garnet release ships a hardened-mode equivalent (threat ledger, parser limits, FEC) — the kill-test: if incumbents absorb the hardening story, FrankenRedis's differentiation collapses to "Rust, but slower to adopt" [Inference, Medium]	human		packets/frankenredis-assessment.md#L257	FreshCore (unreviewed)
frankenredis	9	(v3 addition) Abandonment tripwire — no commits for 60 days or the CI workflows disabled/archived: re-ring to Monitor and treat the tree as a retired artifact. This is the decay sensor the steelman's end state needs	human		packets/frankenredis-assessment.md#L258	FreshCore (unreviewed)
frankenscipy	1	the behavioral-parity assertion census published	human		packets/frankenscipy-assessment.md#L190	FreshCore (unreviewed)
frankenscipy	2	any independent benchmark, code review, or production deployment	human		packets/frankenscipy-assessment.md#L190	FreshCore (unreviewed)
frankenscipy	3	a second human maintainer with merge rights	contributors.second_human		packets/frankenscipy-assessment.md#L190	FreshCore (unreviewed)
frankenscipy	4	any change to the license rider	license.text		packets/frankenscipy-assessment.md#L190	FreshCore (unreviewed)
frankenscipy	5	V1.0 tagged	human		packets/frankenscipy-assessment.md#L190	FreshCore (unreviewed)
frankenscipy	6	`frankenscipy-icmu7` (artifact-topology convergence — 12 legacy `P2C-*` + 18 `FSCI-P2C-*` artifact dirs coexist at the pin [Verified, High]) closed	human		packets/frankenscipy-assessment.md#L190	FreshCore (unreviewed)
frankensearch	1	`main` compiles in an independent environment — `cargo check --workspace` (or the `dsr quality` gate) green at a new pin, observed by a party other than the maintainer. Flips the §4.13 hole	human		packets/frankensearch-assessment.md#L252	FreshCore (unreviewed)
frankensearch	2	A labeled-corpus quality receipt is committed — nDCG/recall of Quill vs the Tantivy oracle and two-tier vs lexical-only, meeting the SEARCH_QUALITY_FINDINGS evidence standard (labeled, held-out queries, matched candidate coverage, per-corpus paired comparisons). Flips the relevance gap — the single most load-bearing missing evidence in the packet	human		packets/frankensearch-assessment.md#L253	FreshCore (unreviewed)
frankensearch	3	Rider narrowed or removed — LICENSE diff dropping the named-party restriction. Flips usability for restricted parties and contributor-pool risk. Advancement blocker for the Explore ceiling	human		packets/frankensearch-assessment.md#L254	FreshCore (unreviewed)
frankensearch	4	Second human committer with merge rights — bus factor > 1 observable on the contributor graph. Flips succession risk	contributors.second_human		packets/frankensearch-assessment.md#L255	FreshCore (unreviewed)
frankensearch	5	Watcher-lock limit fixed — bd-z2nfa closed with concurrent search-during-watch demonstrated. Flips the core-CLI-loop gap	human		packets/frankensearch-assessment.md#L256	FreshCore (unreviewed)
frankensearch	6	Independent benchmark or review published — any third party reproducing the receipts or contesting the quality. Flips "zero independent coverage."	human		packets/frankensearch-assessment.md#L257	FreshCore (unreviewed)
frankensearch	7	A newer fsfs binary release — GitHub Release > 1.10.0 landing the September CLI work (complete-generation integration, Unix-socket serving). Flips the "unreleased work" judgment	human		packets/frankensearch-assessment.md#L258	FreshCore (unreviewed)
frankensearch	8	An incumbent ships progressive delivery (Meilisearch/Typesense/Qdrant: answer-now-refine-later as a first-class API) — the kill-test: if incumbents absorb the progressive story, frankensearch's differentiation collapses to "Rust, but unproven" [Inference, Medium]	human		packets/frankensearch-assessment.md#L259	FreshCore (unreviewed)
frankensearch	9	Abandonment tripwire — no commits for 60 days or the repo archived: re-ring to Monitor and treat the tree as a retired artifact. The decay sensor the steelman's end state needs	human		packets/frankensearch-assessment.md#L260	FreshCore (unreviewed)
frankensim	1	First L4 registration (experimentally validated capability) in `capability-maturity.json`	human		packets/frankensim-assessment.md#L204	FreshCore (unreviewed)
frankensim	2	A crates.io release or tagged version of any `fs-*` crate	human		packets/frankensim-assessment.md#L205	FreshCore (unreviewed)
frankensim	3	Contribution policy change (external PRs accepted/merged)	human		packets/frankensim-assessment.md#L206	FreshCore (unreviewed)
frankensim	4	An independent third-party reproduction (Level-B deck re-run, evidence-package verification, or published review/benchmark)	human		packets/frankensim-assessment.md#L207	FreshCore (unreviewed)
frankensim	5	Suite-greenness evidence: a retained, clean-tree, green suite receipt at a recent pin	human		packets/frankensim-assessment.md#L208	FreshCore (unreviewed)
frankensim	6	Rider modification or carve-out (especially any agent/benchmark allowance)	human		packets/frankensim-assessment.md#L209	FreshCore (unreviewed)
frankensim	7	Maintainer silence > 60 days (abandonment tripwire — bus factor 1)	human		packets/frankensim-assessment.md#L210	FreshCore (unreviewed)
frankensim_website	1	a LICENSE file appears at HEAD (closes the sharpest finding)	license.text		packets/frankensim_website-assessment.md#L190	FreshCore (unreviewed)
frankensim_website	2	`fs_wasm_bg.wasm` is rebuilt/replaced (re-verify the export census + hash)	human		packets/frankensim_website-assessment.md#L190	FreshCore (unreviewed)
frankensim_website	3	any commit after 2026-08-21 (breaks the silence narrative — check what moved)	human		packets/frankensim_website-assessment.md#L190	FreshCore (unreviewed)
frankensim_website	4	the GitHub description changes from "20 kernels"	human		packets/frankensim_website-assessment.md#L190	FreshCore (unreviewed)
frankensim_website	5	a `.github/workflows/` directory appears (the anti-drift machinery becomes real)	ci.class	to=C1|C2|C3	packets/frankensim_website-assessment.md#L190	FreshCore (unreviewed)
frankensim_website	6	the parent repo tags a release the site references	human		packets/frankensim_website-assessment.md#L190	FreshCore (unreviewed)
frankensqlite	1	first independent benchmark, review, or production deployment	human		packets/frankensqlite-assessment.md#L202	FreshCore (unreviewed)
frankensqlite	2	completion of the 100%-declared-surface parity certification	human		packets/frankensqlite-assessment.md#L202	FreshCore (unreviewed)
frankensqlite	3	publication of the citation-grade performance matrix	human		packets/frankensqlite-assessment.md#L202	FreshCore (unreviewed)
frankensqlite	4	the merge ladder wired into the live commit path	human		packets/frankensqlite-assessment.md#L202	FreshCore (unreviewed)
frankensqlite	5	a second human maintainer (requires a policy change)	contributors.second_human		packets/frankensqlite-assessment.md#L202	FreshCore (unreviewed)
frankensqlite	6	any change to the license rider	license.text		packets/frankensqlite-assessment.md#L202	FreshCore (unreviewed)
frankensqlite	7	re-enablement and greening of the public verification-gates workflow	ci.class	to=C1	packets/frankensqlite-assessment.md#L202	FreshCore (unreviewed)
frankensqlite_website	1	a LICENSE file appears (ring unchanged, but §4.8 rewritten)	license.text		packets/frankensqlite_website-assessment.md#L205	FreshCore (unreviewed)
frankensqlite_website	2	the crate count on the site moves 26 → 28 (drift repair in progress)	human		packets/frankensqlite_website-assessment.md#L205	FreshCore (unreviewed)
frankensqlite_website	3	any `.github/workflows/` file appears (CI exists)	ci.class	to=C1|C2|C3	packets/frankensqlite_website-assessment.md#L205	FreshCore (unreviewed)
frankensqlite_website	4	the engine ships a release where page encryption or RaptorQ healing becomes reachable from the public API (the site's two flagship claims become true)	human		packets/frankensqlite_website-assessment.md#L205	FreshCore (unreviewed)
frankensqlite_website	5	a second human committer appears	contributors.second_human		packets/frankensqlite_website-assessment.md#L205	FreshCore (unreviewed)
frankensqlite_website	6	the spec viewer renders a second repo's spec (genesis → custom-built)	human		packets/frankensqlite_website-assessment.md#L205	FreshCore (unreviewed)
frankensympy	1	first green CI Gate Topology run after the 786-run red streak	ci.class	to=C1	packets/frankensympy-assessment.md#L202	FreshCore (unreviewed)
frankensympy	2	any claim moving to `validated` in `claims.toml`	human		packets/frankensympy-assessment.md#L202	FreshCore (unreviewed)
frankensympy	3	a committed F1 regression test	human		packets/frankensympy-assessment.md#L202	FreshCore (unreviewed)
frankensympy	4	a second human committer	contributors.second_human		packets/frankensympy-assessment.md#L202	FreshCore (unreviewed)
frankensympy	5	first tagged release	release.first		packets/frankensympy-assessment.md#L202	FreshCore (unreviewed)
frankensympy	6	an independent benchmark or deployment (any party, any scale)	human		packets/frankensympy-assessment.md#L202	FreshCore (unreviewed)
frankenterm	1	target-class 200-pane gate signing a non-skipped artifact	human		packets/frankenterm-assessment.md#L198	FreshCore (unreviewed)
frankenterm	2	a second human maintainer or a contributions-policy reversal	human		packets/frankenterm-assessment.md#L198	FreshCore (unreviewed)
frankenterm	3	any change to the license rider	license.text		packets/frankenterm-assessment.md#L198	FreshCore (unreviewed)
frankenterm	4	any independent benchmark, code review, or production deployment	human		packets/frankenterm-assessment.md#L198	FreshCore (unreviewed)
frankenterm	5	native GUI qualification completing	human		packets/frankenterm-assessment.md#L198	FreshCore (unreviewed)
frankenterm	6	upstream WezTerm backports lapsing (a negative trigger)	human		packets/frankenterm-assessment.md#L198	FreshCore (unreviewed)
frankentorch	1	A tagged release or GitHub Release appears — `git for-each-ref refs/tags` / `gh release list` non-empty. Flips the "no artifact to evaluate" judgment	human		packets/frankentorch-assessment.md#L253	FreshCore (unreviewed)
frankentorch	2	phase2c-reliability-gates goes green at a pin — per-job conclusion success via the Actions API. Flips the CI-red finding	human		packets/frankentorch-assessment.md#L254	FreshCore (unreviewed)
frankentorch	3	Rider narrowed or removed — LICENSE diff dropping the named-party restriction. Flips usability for restricted parties and contributor-pool risk. The advancement blocker for the Explore ceiling	human		packets/frankentorch-assessment.md#L255	FreshCore (unreviewed)
frankentorch	4	Second human committer with merge rights — bus factor > 1 observable on the contributor graph. Flips succession risk	contributors.second_human		packets/frankentorch-assessment.md#L256	FreshCore (unreviewed)
frankentorch	5	A second quotable-lane cohort — the ledger's "one of fourteen" sentence amended with newly certified lanes. Flips the perf-pillar judgment	human		packets/frankentorch-assessment.md#L257	FreshCore (unreviewed)
frankentorch	6	Independent benchmark or review published — any third party reproducing or contesting the numbers. Flips "zero independent coverage."	human		packets/frankentorch-assessment.md#L258	FreshCore (unreviewed)
frankentorch	7	Caching allocator on by default with the gap closed in CI — the allocator finding graduates from diagnosis to product	human		packets/frankentorch-assessment.md#L259	FreshCore (unreviewed)
frankentorch	8	PyTorch ships a first-class determinism-and-provenance story (replayable gradient graphs with evidence) — the kill-test: if the incumbent absorbs the DAC story, FrankenTorch's differentiation collapses to "Rust, but without CUDA" [Inference, Medium]	human		packets/frankentorch-assessment.md#L260	FreshCore (unreviewed)
frankentorch	9	Abandonment tripwire — no commits for 60 days or the CI workflows disabled/archived: re-ring to Monitor and treat the tree as a retired artifact	human		packets/frankentorch-assessment.md#L261	FreshCore (unreviewed)
frankentui	1	an agent-CLI builder publicly *evaluating* (not even adopting) frankentui for inline mode	human		packets/frankentui-assessment.md#L222	FreshCore (unreviewed)
frankentui	2	a v0.9.0 (or later) release with matching git tag + GitHub Release + crates.io package	human		packets/frankentui-assessment.md#L222	FreshCore (unreviewed)
frankentui	3	any independent benchmark, code review, or production deployment	human		packets/frankentui-assessment.md#L222	FreshCore (unreviewed)
frankentui	4	a second human maintainer with merge rights	contributors.second_human		packets/frankentui-assessment.md#L222	FreshCore (unreviewed)
frankentui	5	adoption of the claims-ledger/gates machinery by a second project	human		packets/frankentui-assessment.md#L222	FreshCore (unreviewed)
frankentui	6	any change to the license rider	license.text		packets/frankentui-assessment.md#L222	FreshCore (unreviewed)
frankentui	7	published WASM/native parity numbers	human		packets/frankentui-assessment.md#L222	FreshCore (unreviewed)
frankentui_website	1	Hero stats re-derived from sources of truth — `lib/content.ts` stats generated by script from kernel `Cargo.toml` + crates.io API. Flips the drift inventory	human		packets/frankentui_website-assessment.md#L221	FreshCore (unreviewed)
frankentui_website	2	CI appears — a `.github/workflows` directory gating Playwright on push. Flips the "demo can break silently" judgment	ci.class	to=C1|C2|C3	packets/frankentui_website-assessment.md#L222	FreshCore (unreviewed)
frankentui_website	3	Datasets re-synced with "as of" labels — `export_meta.generated_at` newer than 2026-02-04 rendered on the page. Flips the fossil finding	human		packets/frankentui_website-assessment.md#L223	FreshCore (unreviewed)
frankentui_website	4	The 60 fps claim measured or reworded — a committed perf procedure or the stat demoted to target. Flips the aspirational flagship	human		packets/frankentui_website-assessment.md#L224	FreshCore (unreviewed)
frankentui_website	5	Second maintainer or contributions accepted — bus factor > 1. Flips succession risk (unlikely given the stated policy)	human		packets/frankentui_website-assessment.md#L225	FreshCore (unreviewed)
frankentui_website	6	frankentui.com stops resolving or the demo 404s — re-ring to retired artifact; the site becomes a monument	human		packets/frankentui_website-assessment.md#L226	FreshCore (unreviewed)
frankentui_website	7	Kernel archived or deleted — the site's reason to exist evaporates; re-assess as pure historical artifact	human		packets/frankentui_website-assessment.md#L227	FreshCore (unreviewed)
