id	practice	what_to_copy	areas	evidenced_in	source	source_quote	checklist	our_status	our_proof
RP-060	Version and pin benchmark tasks and datasets; record the commit in every run	Never mutate a benchmark silently: version task configs, pin dataset versions or upstream commits in run manifests, bundle third-party datasets with provenance, and keep old configs reproducible.	eval-harnesses;computer-use;browser-use;guardrails	EleutherAI/lm-evaluation-harness;harbor-framework/terminal-bench-1;xlang-ai/OSWorld;simular-ai/Agent-S;Skyvern-AI/skyvern;microsoft/PyRIT	ecosystem/pickup/_evidence/eval-harnesses.md:25	Copy: never silently mutate a benchmark; bump a version.	A2	adopted	RULEBOOK.md:68; every packet is assessed at a pinned commit
RP-061	Separate benchmark data from harness code	Keep the harness repository code-only and the datasets in their own versioned home, referenced by id.	eval-harnesses;rag-frameworks	UKGovernmentBEIS/inspect_ai;UKGovernmentBEIS/inspect_evals;harbor-framework/terminal-bench-1;EleutherAI/lm-evaluation-harness;microsoft/graphrag	ecosystem/pickup/_evidence/eval-harnesses.md:30	Copy: harness repo stays code; datasets live in their own versioned home.	none	not-applicable	No harness.
RP-062	Registry as code enumerates the supported surface and drives the test matrix	Declare supported models, evals, chunkers, or attack plugins as typed registry entries so the test matrix is enumerable and a new entry is a new file.	embedding-serving;eval-harnesses;rag-frameworks;guardrails	qdrant/fastembed;openai/evals;HKUDS/LightRAG;promptfoo/promptfoo	ecosystem/pickup/_evidence/embedding-serving.md:24	the supported-model contract and makes test matrices enumerable	none	candidate	The 21 stack slugs are fixed by ecosystem/pickup file names; a registry file that Gate K reads would make that contract explicit.
RP-063	Named attack families and labelled pass/fail cases in code	Enumerate attack and evasion families as named modules with metadata, and keep false-positive and false-negative cases as parametrized test data, not a spreadsheet.	guardrails	promptfoo/promptfoo;NVIDIA/garak;protectai/llm-guard;microsoft/PyRIT	ecosystem/pickup/_evidence/guardrails.md:28	Copy: enumerate attack families as named modules with per-module metadata	none	not-applicable	No guard to attack.
RP-064	Tool-call gating as a separate guard family	Treat guards on tool inputs and outputs as a category of their own, separate from prompt-text guards, with their own tests.	guardrails	meta-llama/PurpleLlama;NVIDIA-NeMo/Guardrails	ecosystem/pickup/_evidence/guardrails.md:34	Copy: guardrails for tool input/output are a separate category from prompt text rails.	none	not-applicable	No tools exposed.
RP-065	Test tree mirrors the source tree, with a shared test-utils module	One test file or package per component, trainer, or encoder family, mirroring the source layout, with shared fixtures extracted into a test-utils package.	rag-frameworks;rl-envs;embedding-serving;agent-frameworks;voice-agents	run-llama/llama_index;deepset-ai/haystack;huggingface/trl;huggingface/sentence-transformers;microsoft/autogen;pipecat-ai/pipecat	ecosystem/pickup/_evidence/rl-envs.md:19	Copy: per-algorithm test files + a shared fixtures module.	none	not-applicable	Tests are the gate chain in one script.
RP-066	Smallest real instance end to end: tiny-model smoke and golden-path examples	Run the full pipeline (config validation, load, train or quantize, save, evaluate or generate) on the smallest real model in single-digit steps, and run one golden-path example per format in CI.	fine-tuning;quantization	axolotl-ai-cloud/axolotl;huggingface/trl;meta-pytorch/torchtune;Lightning-AI/litgpt;hiyouga/LlamaFactory;mit-han-lab/llm-awq	ecosystem/pickup/_evidence/fine-tuning.md:34	Tiny-model smoke trains as the standard unit of correctness (steps in the single digits)	none	not-applicable	No training or model pipeline.
RP-067	Config validation as its own tested surface	Expose config validation and normalization as an API and exercise it in every smoke test and per-recipe config test.	fine-tuning	axolotl-ai-cloud/axolotl;meta-pytorch/torchtune;Lightning-AI/litgpt	ecosystem/pickup/_evidence/fine-tuning.md:49	Config validation as its own testable surface	none	adopted	stack/METHOD.md; Gate K1 (site/scripts/verify-site.sh) validates verdict front matter and section names
RP-068	Keep hardware CI tractable: cache priming and CPU legs for distributed logic	Prime model caches into every runner, cover distributed logic on CPU, and use free external hardware legs with canary-vs-control runs.	fine-tuning	axolotl-ai-cloud/axolotl;hiyouga/LlamaFactory;unslothai/unsloth	ecosystem/pickup/_evidence/fine-tuning.md:55	Keeping GPU CI tractable: caching + model-cache priming + free external GPU legs	none	not-applicable	No hardware-bound tests.
RP-069	Assert telemetry against semantic conventions, including streaming span lifecycles	Per instrumented provider, assert that spans follow the semantic conventions, that streaming spans close and carry token usage, and that the export path (masking, batching, propagation) is unit-tested.	observability	traceloop/openllmetry;openlit/openlit;langfuse/langfuse-python;lmnr-ai/lmnr-python;langchain-ai/langsmith-sdk	ecosystem/pickup/_evidence/observability.md:26	Copy: semantic-convention assertions per instrumented provider, not just	none	not-applicable	No telemetry.
RP-070	Scheduled correctness jobs for facts that change underneath you	Re-check externally changing facts on a schedule (model prices, upstream provider SDK changes) with their own job, instead of trusting the snapshot taken when the code was written.	observability;voice-agents	langfuse/langfuse;comet-ml/opik;pipecat-ai/pipecat	ecosystem/pickup/_evidence/observability.md:33	Copy: cost tracking needs its own scheduled correctness job	none	candidate	The 21 evidence packs are 2026-09-23 GitHub API snapshots (stars, push dates, file paths) with no scheduled re-check.
RP-071	Post-deploy checks against the shipped artifact	After every deploy, run the quality or smoke check against the live production artifact, labelled with the commit, not only against the branch build.	web-search-apis;computer-use;agent-memory;frankensuite	firecrawl/firecrawl;trycua/cua;letta-ai/letta-code;Dicklesworthstone/franken_markdown_website;Dicklesworthstone/frankentui_website	ecosystem/pickup/_evidence/web-search-apis.md:22	every merge to main gets an automatic quality benchmark run on the shipped artifact	none	candidate	Deploys to fr.zeststream.ai are manual and no check compares the served pages with the repository.
RP-072	Live-provider tests wired to secrets, skipped on forks	Test against the real endpoint in CI with repository secrets, path-triggered and skipped on forks, and keep a unit tier that intercepts transport for everything else.	web-search-apis;voice-agents;guardrails;structured-output	tavily-ai/tavily-python;exa-labs/exa-py;serpapi/serpapi-python;livekit/agents;NVIDIA-NeMo/Guardrails;guidance-ai/guidance	ecosystem/pickup/_evidence/web-search-apis.md:25	test against the real endpoint in CI, with unit-only separation for the rest	none	not-applicable	No live provider.
RP-073	Automated checks a contribution must pass before merge	Document the automated checks a new benchmark or spec change must pass (policy gate script, spec lint, spelling, conventional commits) and run them before human review.	eval-harnesses;multi-agent-protocols	UKGovernmentBEIS/inspect_ai;UKGovernmentBEIS/inspect_evals;a2aproject/A2A	ecosystem/pickup/_evidence/multi-agent-protocols.md:25	Copy: spec changes go through machine-checked lint before human review.	none	adopted	CONTRIBUTING.md; .github/workflows/verify.yml; every PR runs the same gate chain a contributor runs locally
RP-074	Change record enforced: changelog or release note per change	Require a changelog entry when the version changes, or a release-note fragment per change, and automate the release record.	agent-memory;rag-frameworks;web-search-apis	mem0ai/mem0;deepset-ai/haystack;microsoft/graphrag;exa-labs/exa-py	ecosystem/pickup/_evidence/agent-memory.md:24	Changelog enforcement keyed to version bump	none	candidate	CHANGELOG.md is kept by hand; no check ties it to a version or tag.
RP-075	Agent contributor playbook in the repository	Keep AGENTS.md or CLAUDE.md with the build, test, and conduct rules agents must follow, next to the code.	vector-dbs;frankensuite	lancedb/lancedb;milvus-io/milvus;weaviate/weaviate;chroma-core/chroma;Dicklesworthstone/franken_whisper;Dicklesworthstone/franken_markdown;Dicklesworthstone/frankenfs	ecosystem/pickup/_evidence/vector-dbs.md:37	how these projects onboard agents; worth mirroring	A9	candidate	CONTRIBUTING.md covers humans; there is no AGENTS.md stating the 12 forbidden patterns for agents working in this repository.
RP-076	Claim-to-proof registry with machine gates	Bind every public claim to a machine-checkable key and a proof; the gate refuses wording above its evidence grade, demotes on digest mismatch, and fails CI on drift.	frankensuite	Dicklesworthstone/franken_engine;Dicklesworthstone/frankengit;Dicklesworthstone/franken_markdown;Dicklesworthstone/franken_node;Dicklesworthstone/frankengraphdb;Dicklesworthstone/frankensim;Dicklesworthstone/frankensympy	synthesis/cross-pollination.md:7	Every public claim bound to a machine-checkable key and a proof script	A4;B6	adopted	site/scripts/verify-site.sh; site/BUILD-GATES.md; commit 114d5f0; Gate A2 requires each method-page claim to cite a packet line containing the quoted claim, and Gate K2 and K3 apply the same quote-on-line rule to verdicts and this file
RP-077	Freshness decay on evidence	Give every claim a maximum age since re-verification; the gate downgrades rows whose check has lapsed, so verified cannot silently mean verified once.	frankensuite	Dicklesworthstone/franken_engine	synthesis/cross-pollination.md:15	the gate auto-downgrades rows whose re-verification lags	B8	candidate	Packets and evidence packs carry assessment dates, but no gate demotes a claim when its date ages past a ceiling.
RP-078	Negative-evidence ledger with required entry classes and retry conditions	Log rejections, retractions, and failed optimizations as first-class rows with mandatory classes and a retry condition, so a rejection is a paused hypothesis.	frankensuite	Dicklesworthstone/frankengit;Dicklesworthstone/franken_numpy;Dicklesworthstone/frankensqlite;Dicklesworthstone/franken_tts;Dicklesworthstone/franken_networkx;Dicklesworthstone/frankenlibc;Dicklesworthstone/frankentorch	synthesis/cross-pollination.md:23	A ledger where rejections, retractions, and failed optimizations are first-class rows	A5;B4	candidate	Rejected approaches for this repository are recorded only in commit messages and synthesis prose; there is no ledger file with retry predicates.
RP-079	Anti-extrapolation: an unrun baseline is recorded as incomplete	When the incumbent cannot be run within budget, record the comparison as incomplete or no admissible ratio; never extrapolate a ratio against a baseline that did not run.	frankensuite	Dicklesworthstone/franken_overlap;Dicklesworthstone/franken_tts	synthesis/cross-pollination.md:31	A baseline that exceeds the compute budget is recorded as	A2	adopted	RULEBOOK.md:80
RP-080	Committed statistical baseline gate with environment tagging	Commit the benchmark baseline with per-row environment tags and captured hyperparameters, sign it off, and let a drift detector that demonstrably fires block regressions.	frankensuite	Dicklesworthstone/asupersync	synthesis/cross-pollination.md:39	Benchmark regression as a signed, waiver-free gate	none	not-applicable	No benchmarks of its own.
RP-081	Per-optimization proof bundles	Ship each accepted optimization as one reviewable bundle: SHA-pinned golden transcript, paired and reversed runs, and a keep or reject score gate.	frankensuite	Dicklesworthstone/frankenredis;Dicklesworthstone/frankenjax	synthesis/cross-pollination.md:47	Every accepted optimization ships a bundle	none	not-applicable	No optimizations.
RP-082	Measurement-integrity four-rule gate	Name the worker, name the harness, quote both estimators, and replicate before quoting; comparisons across different workers are invalid.	frankensuite	Dicklesworthstone/frankentorch;Dicklesworthstone/frankenpandas;Dicklesworthstone/frankengraphdb	synthesis/cross-pollination.md:55	Name the worker, name the harness, quote both estimators, replicate before quoting	B3	not-applicable	No measurements of its own.
RP-083	Result-class doctrine for performance verdicts	Type every performance verdict: a self-speedup is maintenance; a campaign win needs the incumbent binary in the same invocation with A/A nulls in range; preregister the verdict rule.	frankensuite	Dicklesworthstone/franken_whisper;Dicklesworthstone/franken_networkx;Dicklesworthstone/franken_overlap;Dicklesworthstone/frankenmermaid	synthesis/cross-pollination.md:63	SELF-SPEEDUP is maintenance, never a campaign win	A2	not-applicable	No performance verdicts of its own.
RP-084	Structured skip honesty: an absent oracle or unrun gate fails	Emit a typed skip event instead of passing silently; make the absence of the oracle, the browser, or any scanned item a failure; refuse dormant lanes with a nonzero exit instead of a false green.	frankensuite	Dicklesworthstone/franken_snowflake;Dicklesworthstone/frankenscipy;Dicklesworthstone/franken_tts;Dicklesworthstone/frankengit	synthesis/cross-pollination.md:71	Runs that cannot execute honestly emit a typed skip event instead of silently passing	none	adopted	.github/workflows/verify.yml:84; site/scripts/verify-site.sh; commit 4f4f0e3; commit 07b681b; no browser found is a FAIL, and zero data-stat slots or zero resolved links fail Gates B and E
RP-085	Maturity vocabulary and dated maturity registry	Label every capability on a ladder (source-present to production-admitted) where no lower label implies a higher one, and publish the dated distribution; partial never rounds up.	frankensuite	Dicklesworthstone/franken_drone_geometry_reconstruction;Dicklesworthstone/frankensim;Dicklesworthstone/franken_ocr;Dicklesworthstone/frankensympy	synthesis/cross-pollination.md:79	no lower label implies a higher one	A11	not-applicable	The repository assigns TRL and NODUS rings to others; it ships no capabilities of its own to label.
RP-086	Evidence color and no-laundering composition	Give evidence typed strengths and compose them so an aggregate can never carry a stronger color than its weakest component.	frankensuite	Dicklesworthstone/frankensim;Dicklesworthstone/frankengraphdb	synthesis/cross-pollination.md:87	composition rules prevent weak evidence from being laundered into strong claims	A11	adopted	RULEBOOK.md:19; stack/METHOD.md; the verdict itself is always tier Inference, whatever its citations
RP-087	Receipt-bound remote execution with self-disqualification	Bind each remote batch to source hashes, job id, and raw logs; keep failed attempts; any code landing after the last executed gate opens a self-disqualification until the gate reruns.	frankensuite	Dicklesworthstone/franken_alignment;Dicklesworthstone/franken_node;Dicklesworthstone/franken_remote	synthesis/cross-pollination.md:95	code landing after the last executed gate opens a self-disqualification ledger	B3	not-applicable	All gates run on public GitHub Actions; there is no private runner to receipt.
RP-088	Full-funnel verdict aggregation with selection pressure stated	Aggregate every measured lane into typed verdicts, including dropped and undecidable ones, and quote the decidable-subset statistic with its selection pressure.	frankensuite	Dicklesworthstone/frankenpandas;Dicklesworthstone/frankensympy	synthesis/cross-pollination.md:103	Aggregate every measured lane into typed verdicts	none	not-applicable	No measured lanes.
RP-089	Adversarial self-audit: gates proven to trip on planted defects	Plant defects (a laundered claim, a weakened gate, a one-byte drift) and record that the gate fails; keep a permanent self-test that proves the gates still trip, and a mutation-score floor where it fits.	frankensuite	Dicklesworthstone/franken_alignment;Dicklesworthstone/frankensympy;Dicklesworthstone/franken_code_browser;Dicklesworthstone/frankensim;Dicklesworthstone/franken_node;Dicklesworthstone/frankenredis	synthesis/cross-pollination.md:111	The evidence gate itself gets audited adversarially	B5;B14	adopted	commit 07b681b; commit 4f4f0e3; break-tests recorded per commit (one-byte packet drift fails A, planted console.error fails I, renamed data-stat and href attributes fail B and E); no permanent in-CI self-test yet
RP-090	Registry-agreement gate: parallel registries must agree exactly	When several tables describe the same set (registry, slug map, factory, data file), fail the build unless they agree exactly.	frankensuite	Dicklesworthstone/franken_agent_detection	synthesis/uniqueness-catalog.md:28	the connector registry, tilde-expansion table, canonical-slug map, and factory registry must agree	none	adopted	site/scripts/verify-site.sh; site/BUILD-GATES.md; commit 114d5f0; Gate D requires briefs, packets and data.js names to match one to one
RP-091	Statistics computed from data, not typed	Compute every displayed count from the data at build or render time and fail when static fallback text differs from the computed value.	frankensuite	Dicklesworthstone/frankensim_website;Dicklesworthstone/frankenterm	synthesis/uniqueness-catalog.md:331	Computed stats pipeline.	B6	adopted	site/scripts/verify-site.sh; site/BUILD-GATES.md; commit 114d5f0; Gate B recomputes every aggregate from data.js and fails on bare N of 44 literals without a STAT source note
RP-092	Disclaim as data: unmeasured targets are machine-readable as unmeasured	Mark targets as targets and unmeasured values as unmeasured in the data itself (status fields, row-level basis labels), and count refusal sites, so absence of evidence is data rather than prose.	frankensuite	Dicklesworthstone/franken_alignment;Dicklesworthstone/frankensearch;Dicklesworthstone/franken_manim	synthesis/uniqueness-catalog.md:38	the absence of measurement is machine-readable data, not prose	A11	candidate	Candidate verdict rows carry no machine field distinguishing measured from asserted beyond the tier label.
RP-093	Release structurally blocked until the gate passes	Make release a checked impossibility until the release gate passes (a release-check command that returns an error, a 100 percent declared-surface threshold with no downgrades).	frankensuite	Dicklesworthstone/franken_alignment;Dicklesworthstone/frankensqlite	synthesis/uniqueness-catalog.md:39	release is a checked impossibility, not an aspiration	A14	candidate	v1.0.0 was tagged by hand after a green run; no workflow blocks a tag whose commit has not passed verify.
RP-094	Upstream-anchored contracts	Anchor each contract rule to the exact upstream file and line at the pin with an expected token, and fail CI when upstream drifts.	frankensuite	Dicklesworthstone/franken_lean	synthesis/uniqueness-catalog.md:72	line naming the exact upstream file/line at the pin	A2	adopted	stack/METHOD.md; site/scripts/verify-site.sh; Gate K2 fails a verdict citation whose line no longer contains its quote
RP-095	Reject fixture-only and synthetic artifacts as evidence	Refuse simulated or fixture-only artifacts as backing for a performance or capability claim.	frankensuite	Dicklesworthstone/franken_engine;Dicklesworthstone/franken_node	synthesis/uniqueness-catalog.md:65	) are rejected by the gate as backing evidence	B6	not-applicable	No performance evidence of its own.
RP-096	Publish rejected and failed artifacts instead of regenerating them	Keep failed receipts, rejected release artifacts, stale not-green suite results, and the reason CI is disabled, visible with identifiers, rather than regenerating into green.	frankensuite	Dicklesworthstone/franken_manim;Dicklesworthstone/frankensim;Dicklesworthstone/franken_markdown_website;Dicklesworthstone/franken_overlap;Dicklesworthstone/beads-for-frankentui	synthesis/uniqueness-catalog.md:83	That artifact was rejected and is not attached	none	adopted	.github/workflows/verify.yml:6; every CI run, red or green, stays public on GitHub Actions and the header forbids weakening a gate to turn it green
RP-097	Machine-greppable honesty trailers on commits	End each commit with what was actually run (or its verification level) in a fixed, greppable form, so history records evidence, not just intent.	frankensuite	Dicklesworthstone/franken_surveillance_system	synthesis/uniqueness-catalog.md:183	the pin's own trailer lists what was	B2	adopted	CONTRIBUTING.md:49; every commit subject ends with a verification level; convention only, not machine-checked in CI
RP-098	Evidence tier on every statement	Label each statement in plans and findings with its epistemic status (fact, design, hypothesis, target; or evidence tier plus confidence) so readers never mistake a target for a result.	frankensuite	Dicklesworthstone/franken_surveillance_system;Dicklesworthstone/franken_nlp	synthesis/uniqueness-catalog.md:185	Every statement labeled FACT / DESIGN / HYPOTHESIS / TARGET / OPEN	A11	adopted	RULEBOOK.md:19; every packet and verdict claim carries a tier and a confidence grade
RP-099	Receipts carry provenance and generation binding	Every receipt or fixture records commit, tool versions, host, worker, oracle script hash, and generation command; a receipt from another generation is not evidence.	frankensuite	Dicklesworthstone/franken_remote;Dicklesworthstone/franken_snowflake;Dicklesworthstone/franken_manim;Dicklesworthstone/frankenpandas;Dicklesworthstone/frankenterm	synthesis/uniqueness-catalog.md:279	All 1,387 conformance packets carry	B3	adopted	RULEBOOK.md:68; every packet records repository, pinned commit, date and analyst method
RP-100	Machine-checked dependency admissibility	Check the dependency tree against a declared diet (banned crates, franken-only, zero-external) in CI, with the admission rationale recorded per dependency.	frankensuite	Dicklesworthstone/franken_snowflake;Dicklesworthstone/franken_alignment;Dicklesworthstone/franken_threed;Dicklesworthstone/frankensim	synthesis/uniqueness-catalog.md:175	Machine-checked dependency diet.	none	candidate	One exact-pinned devDependency (esbuild) with no admission record or tree check.
RP-101	Tolerance and floor ratchets: thresholds only tighten	Enforce tolerances and conformance floors with ratchet semantics in CI, so a threshold can tighten but never loosen without an explicit gate change.	frankensuite	Dicklesworthstone/frankenscipy;Dicklesworthstone/franken_markdown	synthesis/uniqueness-catalog.md:296	CI enforces the tolerance policy with ratchet semantics	B7	not-applicable	No numeric thresholds in the gate chain.
RP-102	Failure-mode taxonomy for honesty machinery	Name the ways evidence culture fails (demo hardcoding, proof laundering, refusal farming, commit pumping, gate self-weakening, follow-up laundering) so reviewers can call them by name.	frankensuite	Dicklesworthstone/franken_code_browser;Dicklesworthstone/franken_whisper;Dicklesworthstone/frankensim	synthesis/uniqueness-catalog.md:46	Coordinated-failure defect taxonomy.	A9	candidate	The 12 forbidden patterns are in the starter kit, but this repository has no agent instructions file adopting them.
RP-103	Bead closure requires evidence of minimum substance	Reject tracker closures without an evidence-bearing reason of minimum length, and sweep old thin closures back open.	frankensuite	Dicklesworthstone/frankentui;Dicklesworthstone/franken_node	synthesis/uniqueness-catalog.md:380	rejects bead closures without 80+ character evidence-bearing reasons	B2;B13	not-applicable	This repository keeps no bead graph of its own.
RP-104	Typed proof grammar for claims	Give each claim proof a typed form (test, path, identifier, command, count, manual) so proof kinds can be checked and counted.	frankensuite	Dicklesworthstone/frankentui	synthesis/uniqueness-catalog.md:379	The claims ledger uses a typed proof grammar	A11	adopted	stack/METHOD.md; our_proof in this file is typed as path:line, bare path, or commit sha, and Gate K3 resolves each form
RP-105	SLO-as-code	Keep performance budgets in a machine-readable file that gates enforce or that changes runtime posture on breach.	frankensuite	Dicklesworthstone/frankentui;Dicklesworthstone/franken_drone_geometry_reconstruction;Dicklesworthstone/asupersync	synthesis/uniqueness-catalog.md:382	frame budgets enforced by gates	none	not-applicable	No runtime performance budget.
RP-106	In-place atomic swap per change, never big-bang or shadow A/B	Each change replaces the old implementation with a thin shim into the new one and deletes the old code in the same commit, so the new code is exercised in place and main stays shippable.	frankensuite	github/copilot-agent-runtime	synthesis/vendor-port-learnings.md:42	Each pull request replaces the	none	not-applicable	No port.
RP-107	Shipping pilots and a trial run before scale	Land the toolchain, CI, and rules first, prove the full pipeline on a few side-effect-free units with human-read drafts, and only then scale out.	frankensuite	github/copilot-agent-runtime;oven-sh/bun	synthesis/vendor-port-learnings.md:231	Full pipeline (1 implementer + 2 adversarial reviewers +	none	not-applicable	No bulk port or generation run.
RP-108	Leaves-inward waves, with temporary interop counted down to zero	Order work from pure leaves inward to the most coupled core, move behaviour in waves (logic, state, orchestration, remove fallbacks, simplify), and count the temporary interop seam down to zero.	frankensuite	github/copilot-agent-runtime	synthesis/vendor-port-learnings.md:67	T-C5. Temporary interop as a deliberately deletable seam.	none	not-applicable	No port.
RP-109	Incremental rollout as last-mile validation	Ship the port incrementally to a pre-release audience so regressions correlate with recent changes and are cheap to root-cause.	frankensuite	github/copilot-agent-runtime	synthesis/vendor-port-learnings.md:72	Doing the porting incrementally over	none	not-applicable	No staged audience.
RP-110	Protect the oracle from the agent: frozen E2E tests and two-key waivers	Freeze the end-to-end suite as the contract; agents may not delete or weaken tests, update snapshots, raise baselines, or apply waiver labels without a second approver; zero tests skipped or deleted.	frankensuite	github/copilot-agent-runtime;oven-sh/bun;Dicklesworthstone/frankenredis;Dicklesworthstone/frankengit	synthesis/vendor-port-learnings.md:85	The agent changing an implementation cannot	B7;B9	candidate	Gate A keeps the shipped packets byte-identical to the canonical ones, but nothing requires a second approver to change the canonical packets, RULEBOOK.md or the gate script.
RP-111	Split-context adversarial review, default-refute, with attribution	Give the reviewer the diff and nothing else, tell it to assume the code is wrong, default verdicts to refuted unless it cites source and target lines, and attribute every caught bug in the fix commit.	frankensuite	oven-sh/bun;github/copilot-agent-runtime	synthesis/vendor-port-learnings.md:247	The reviewer gets the diff and nothing else	A13	adopted	stack/METHOD.md:82; commit 6d03cc1; a verdict's author never reviews it and Gate K fails when reviewed_by equals author
RP-112	Line-by-line old-versus-new review by several models	After each rebase, have one reviewer per model compare old and new code line by line for behavioural equality, flag leftover shims and changed E2E tests, and loop until every review is clean.	frankensuite	github/copilot-agent-runtime	synthesis/vendor-port-learnings.md:98	a line-by-line comparison of the old TypeScript and the new Rust, confirming behavioral	A13	not-applicable	No port to compare.
RP-113	Division of review labour	Agents do exhaustive old-versus-new comparison, tests and static analysis check what is mechanically enforceable, and humans concentrate on architecture, contracts, risk, and whatever the other layers flag.	frankensuite	github/copilot-agent-runtime	synthesis/vendor-port-learnings.md:108	reviewers concentrated on architecture, API contracts, risk, and any suspicious places	none	candidate	This batch splits drafting, gating and independent review across agents, but the split is not written down for the repository.
RP-114	Rebase conflict as a feature of atomic delete	Delete old code in the same change that adds its replacement, so any incoming edit to already-ported code surfaces as a rebase conflict instead of being lost.	frankensuite	github/copilot-agent-runtime	synthesis/vendor-port-learnings.md:114	T-C11. Rebase-conflict-as-a-feature from atomic delete.	none	not-applicable	No port.
RP-115	Explorers fan out, one coordinator owns edits; child sessions own disjoint files	Use subagents for independent read-only questions, keep mutation with the coordinating agent, give parallel writers disjoint file ownership, and write kickoff prompts that name siblings and what to leave alone.	frankensuite	github/copilot-agent-runtime	synthesis/vendor-port-learnings.md:121	T-C12. Subagents for exploration, child sessions for parallel diffs.	none	candidate	This v1.1 batch assigned exclusive file ownership per agent in the lead prompt; the rule is not recorded in the repository.
RP-116	A failure seen twice becomes standing machinery	When a failure mode recurs, turn it into a standing instruction, a reusable skill, an eval, a protected baseline, or a gate, not a one-off fix.	frankensuite	github/copilot-agent-runtime;Dicklesworthstone/frankenfs	synthesis/vendor-port-learnings.md:140	it belongs in standing instructions, a reusable skill, an eval	none	adopted	site/BUILD-GATES.md; commit 114d5f0; each gate names the audit gap it closes, e.g. Gate A2 was added after the adversarial regrade caught invented method-page claims
RP-117	Translate first, redesign second	Never change language and behaviour in the same change; land the faithful translation with its oracle green, then redesign in a separate change.	frankensuite	github/copilot-agent-runtime;Dicklesworthstone/frankensqlite	synthesis/vendor-port-learnings.md:143	Translate first, redesign second.	none	not-applicable	No port.
RP-118	Minimal permanent ABI surface with a dispatch interior	Keep the permanent boundary tiny (a handful of exported functions) and route everything else through a dispatch table behind it.	frankensuite	github/copilot-agent-runtime	synthesis/vendor-port-learnings.md:149	Adding, changing, or removing an API method touches the	none	not-applicable	No ABI.
RP-119	Unsafe governance: counted, boundary-only, SAFETY-commented, compiler-enforced	Count every unsafe block and keep them at interop boundaries, require an accurate SAFETY comment above each, push the unsafe boundary away from each access, and encode the style guide as lint bans.	frankensuite	github/copilot-agent-runtime;oven-sh/bun;NVlabs/cuda-oxide;Dicklesworthstone/franken_native_capsule;Dicklesworthstone/frankentorch	synthesis/vendor-port-learnings.md:291	Use the compiler to enforce safety. Code comments do not	none	not-applicable	No unsafe code.
RP-120	Classify every regression into named families	Sort each regression into a small fixed taxonomy (incomplete migration, state and lifetime, contract mismatch, host boundary, incorrect oracle) and use the counts to steer review.	frankensuite	github/copilot-agent-runtime;oven-sh/bun	synthesis/vendor-port-learnings.md:157	T-C18. The five regression families	none	candidate	Site defects found in audits are fixed and gated but not tallied by family.
RP-121	Paired-operation completeness	Declare every paired operation (abort and cancel, persist and project, register and deregister) and fail a change that touches one half without the other.	frankensuite	github/copilot-agent-runtime	synthesis/vendor-port-learnings.md:623	PAIR — Paired-operation completeness	none	not-applicable	No paired runtime operations.
RP-122	Ambient and host-boundary inventory	Inventory every ambient input (timezone, cwd, PATH, env, host tools) with its capture point and refresh policy, and test that changing it after capture changes nothing.	frankensuite	github/copilot-agent-runtime;Dicklesworthstone/franken_node	synthesis/vendor-port-learnings.md:643	HOST — Ambient/host-boundary inventory	none	candidate	The gate chain depends on the host Chrome, python3 and node versions; CI pins node 22 and bun 1.4.2 but Chrome floats with the runner image and nothing records the version used.
RP-123	Porting rulebook adversarially reviewed before bulk work	Write the idiom and type rulebook before any bulk work, have it adversarially reviewed, and make uncertainty markers greppable and budgeted: flagging is better than wrong output.	frankensuite	oven-sh/bun	synthesis/vendor-port-learnings.md:220	adversarially reviewed before use	A13	adopted	stack/METHOD.md; commit 6d03cc1; the verdict method was revised after an independent stress-test before any verdict shipped
RP-124	Pre-computed ownership table as an orthogonal source of truth	Classify ownership of every pointer or handle in a cited table before the work, and have agents use the table verbatim instead of guessing locally.	frankensuite	oven-sh/bun	synthesis/vendor-port-learnings.md:223	LIFETIMES.tsv — pre-computed ownership table as an orthogonal source of truth.	none	not-applicable	No ownership decisions.
RP-125	Compiler errors as a work queue	Write the checker output to a file grouped by unit and drain it with bounded agent teams, rather than letting each agent rediscover errors.	frankensuite	oven-sh/bun	synthesis/vendor-port-learnings.md:236	Compiler errors as a work queue.	none	not-applicable	No compile step.
RP-126	No stubbing to satisfy the checker	Forbid stubs and justification-paragraph workarounds that make an error disappear; if the workaround needs a paragraph to defend, fix the code.	frankensuite	oven-sh/bun	synthesis/vendor-port-learnings.md:243	comment to justify why the workaround is OK, the code is wrong	A9	candidate	Covered by the starter kit forbidden patterns, which this repository has not adopted in an agent instructions file.
RP-127	Bounded loops with explicit IOUs, zero unresolved at the gate	Give every agent loop a round cap, turn unfixables into structured blocked-on markers consumed by a later phase, and fail the phase gate on any left.	frankensuite	oven-sh/bun	synthesis/vendor-port-learnings.md:333	Bounded loops with explicit IOUs: every phase had a round cap	A7	not-applicable	No agent loops run inside this repository.
RP-128	Class fix followed by instance re-audit against the new code	After fixing a bug class systemically, re-run the per-instance audit against the new code and record each instance as fixed or exempt.	frankensuite	oven-sh/bun	synthesis/vendor-port-learnings.md:339	re-run the per-site audit against the	none	candidate	When a gate is added for a defect class, older pages are not separately re-audited beyond what the gate scans.
