repo	spdx	license_class	checked	command	note
NVIDIA-NeMo/Guardrails	Apache-2.0	permissive	2026-09-23	gh api repos/NVIDIA-NeMo/Guardrails --jq '{full_name, license: .license, archived, fork, default_branch}' ; gh api repos/NVIDIA-NeMo/Guardrails/license --jq .content | base64 -d ; gh api 'repos/NVIDIA-NeMo/Guardrails/git/trees/develop?recursive=1' (scan for nested LICENSE/COPYING and ee|enterprise|wl dirs)	API spdx_id NOASSERTION; LICENSE.md: "SPDX-License-Identifier: Apache-2.0"; tree scan: no non-permissive nested LICENSE and no ee/enterprise dir (third_party/vendor excluded)
NVIDIA/garak	Apache-2.0	permissive	2026-09-23	gh api repos/NVIDIA/garak --jq '{full_name, license: .license, archived, fork, default_branch}' ; gh api 'repos/NVIDIA/garak/git/trees/main?recursive=1' (scan for nested LICENSE/COPYING and ee|enterprise|wl dirs)	tree scan: no non-permissive nested LICENSE and no ee/enterprise dir (third_party/vendor excluded)
NVIDIA/TensorRT-LLM	Apache-2.0 AND LicenseRef-LTX-2-Community	permissive-with-conditions	2026-09-23	gh api repos/NVIDIA/TensorRT-LLM --jq '{full_name, license: .license, archived, fork, default_branch}' ; gh api repos/NVIDIA/TensorRT-LLM/license --jq .content | base64 -d ; gh api -H 'Accept: application/vnd.github.raw' repos/NVIDIA/TensorRT-LLM/contents/tensorrt_llm/_torch/visual_gen/models/ltx2/NOTICE ; gh api 'repos/NVIDIA/TensorRT-LLM/git/trees/main?recursive=1' (scan for nested LICENSE/COPYING and ee|enterprise|wl dirs)	API spdx_id NOASSERTION; LICENSE: "This project is licensed under the Apache 2.0 license" but "The LTX-2 Community License Agreement applies only to use of the code in the tensorrt_llm/_torch/visual_gen/models/ltx2/ directory": "Entities with annual revenues of at least $10,000,000 ... are required to obtain a paid commercial use license"; other bundled third-party code MIT/BSD-3-Clause, no GPL found; tree scanned for nested licenses/ee dirs
openai/openai-agents-js	MIT	permissive	2026-09-23	gh api repos/openai/openai-agents-js --jq '{full_name, license: .license, archived, fork, default_branch}' ; gh api 'repos/openai/openai-agents-js/git/trees/main?recursive=1' (scan for nested LICENSE/COPYING and ee|enterprise|wl dirs)	tree scan: no non-permissive nested LICENSE and no ee/enterprise dir (third_party/vendor excluded)
openai/openai-agents-python	MIT	permissive	2026-09-23	gh api repos/openai/openai-agents-python --jq '{full_name, license: .license, archived, fork, default_branch}' ; gh api 'repos/openai/openai-agents-python/git/trees/main?recursive=1' (scan for nested LICENSE/COPYING and ee|enterprise|wl dirs)	tree scan: no non-permissive nested LICENSE and no ee/enterprise dir (third_party/vendor excluded)
openlit/openlit	Apache-2.0	permissive	2026-09-23	gh api repos/openlit/openlit --jq '{full_name, license: .license, archived, fork, default_branch}' ; gh api 'repos/openlit/openlit/git/trees/main?recursive=1' (scan for nested LICENSE/COPYING and ee|enterprise|wl dirs)	tree scan: no non-permissive nested LICENSE and no ee/enterprise dir (third_party/vendor excluded)
OSU-NLP-Group/Mind2Web	MIT	permissive	2026-09-23	gh api repos/OSU-NLP-Group/Mind2Web --jq '{full_name, license: .license, archived, fork, default_branch}' ; gh api 'repos/OSU-NLP-Group/Mind2Web/git/trees/main?recursive=1' (scan for nested LICENSE/COPYING and ee|enterprise|wl dirs)	tree scan: no non-permissive nested LICENSE and no ee/enterprise dir (third_party/vendor excluded)
pgvector/pgvector	PostgreSQL	permissive	2026-09-23	gh api repos/pgvector/pgvector --jq '{full_name, license: .license, archived, fork, default_branch}' ; gh api repos/pgvector/pgvector/license --jq .content | base64 -d ; gh api 'repos/pgvector/pgvector/git/trees/master?recursive=1' (scan for nested LICENSE/COPYING and ee|enterprise|wl dirs)	API spdx_id NOASSERTION; LICENSE is the PostgreSQL License text: "Permission to use, copy, modify, and distribute this software ... without fee"; tree scan: no non-permissive nested LICENSE and no ee/enterprise dir (third_party/vendor excluded)
pipecat-ai/pipecat	BSD-2-Clause	permissive	2026-09-23	gh api repos/pipecat-ai/pipecat --jq '{full_name, license: .license, archived, fork, default_branch}' ; gh api 'repos/pipecat-ai/pipecat/git/trees/main?recursive=1' (scan for nested LICENSE/COPYING and ee|enterprise|wl dirs)	tree scan: no non-permissive nested LICENSE and no ee/enterprise dir (third_party/vendor excluded)
promptfoo/promptfoo	MIT	permissive	2026-09-23	gh api repos/promptfoo/promptfoo --jq '{full_name, license: .license, archived, fork, default_branch}' ; gh api 'repos/promptfoo/promptfoo/git/trees/main?recursive=1' (scan for nested LICENSE/COPYING and ee|enterprise|wl dirs)	tree scan: no non-permissive nested LICENSE and no ee/enterprise dir (third_party/vendor excluded)
protectai/llm-guard	MIT	permissive	2026-09-23	gh api repos/protectai/llm-guard --jq '{full_name, license: .license, archived, fork, default_branch}' ; gh api 'repos/protectai/llm-guard/git/trees/main?recursive=1' (scan for nested LICENSE/COPYING and ee|enterprise|wl dirs)	ARCHIVED on GitHub (archived=true): no further maintenance; tree scan: no non-permissive nested LICENSE and no ee/enterprise dir (third_party/vendor excluded)
pytorch/ao	BSD-3-Clause	permissive	2026-09-23	gh api repos/pytorch/ao --jq '{full_name, license: .license, archived, fork, default_branch}' ; gh api repos/pytorch/ao/license --jq .content | base64 -d ; gh api 'repos/pytorch/ao/git/trees/main?recursive=1' (scan for nested LICENSE/COPYING and ee|enterprise|wl dirs)	API spdx_id NOASSERTION; LICENSE is BSD-3-Clause text ("Neither the name of the copyright holder nor the names of its contributors may be used to endorse") with an added Arm copyright line; tree scan: no non-permissive nested LICENSE and no ee/enterprise dir (third_party/vendor excluded)
qdrant/fastembed	Apache-2.0	permissive	2026-09-23	gh api repos/qdrant/fastembed --jq '{full_name, license: .license, archived, fork, default_branch}' ; gh api 'repos/qdrant/fastembed/git/trees/main?recursive=1' (scan for nested LICENSE/COPYING and ee|enterprise|wl dirs)	tree scan: no non-permissive nested LICENSE and no ee/enterprise dir (third_party/vendor excluded)
qdrant/qdrant	Apache-2.0	permissive	2026-09-23	gh api repos/qdrant/qdrant --jq '{full_name, license: .license, archived, fork, default_branch}' ; gh api 'repos/qdrant/qdrant/git/trees/master?recursive=1' (scan for nested LICENSE/COPYING and ee|enterprise|wl dirs)	tree scan: no non-permissive nested LICENSE and no ee/enterprise dir (third_party/vendor excluded)
run-llama/llama_index	MIT	permissive-with-conditions	2026-09-23	gh api repos/run-llama/llama_index --jq '{full_name, license: .license, archived, fork, default_branch}' ; gh api -H 'Accept: application/vnd.github.raw' repos/run-llama/llama_index/contents/llama-index-integrations/readers/llama-index-readers-web/LICENSE ; gh api 'repos/run-llama/llama_index/git/trees/main?recursive=1' (scan for nested LICENSE/COPYING and ee|enterprise|wl dirs)	core (llama-index-core) MIT, but several separately published integration packages are copyleft: AGPL-3.0 in llms-upstage, readers-upstage, readers-kaltura, callbacks-uptrain; GPL in readers-web, readers-boarddocs, readers-pdf-marker, readers-pdf-table, readers-service-now, readers-stripe-docs, readers-nougat-ocr, readers-imdb-review; tree scanned for nested licenses/ee dirs
searxng/searxng	AGPL-3.0	network-copyleft	2026-09-23	gh api repos/searxng/searxng --jq '{full_name, license: .license, archived, fork, default_branch}' ; gh api 'repos/searxng/searxng/git/trees/master?recursive=1' (scan for nested LICENSE/COPYING and ee|enterprise|wl dirs)	AGPL-3.0: offering a modified instance over a network requires releasing its source; tree scanned for nested licenses/ee dirs
serpapi/serpapi-python	MIT	permissive	2026-09-23	gh api repos/serpapi/serpapi-python --jq '{full_name, license: .license, archived, fork, default_branch}' ; gh api 'repos/serpapi/serpapi-python/git/trees/master?recursive=1' (scan for nested LICENSE/COPYING and ee|enterprise|wl dirs)	tree scan: no non-permissive nested LICENSE and no ee/enterprise dir (third_party/vendor excluded)
ServiceNow/BrowserGym	Apache-2.0	permissive	2026-09-23	gh api repos/ServiceNow/BrowserGym --jq '{full_name, license: .license, archived, fork, default_branch}' ; gh api repos/ServiceNow/BrowserGym/license --jq .content | base64 -d ; gh api 'repos/ServiceNow/BrowserGym/git/trees/main?recursive=1' (scan for nested LICENSE/COPYING and ee|enterprise|wl dirs)	API spdx_id NOASSERTION; LICENSE is the short Apache-2.0 header: "Licensed under the Apache License, Version 2.0"; tree scan: no non-permissive nested LICENSE and no ee/enterprise dir (third_party/vendor excluded)
sgl-project/sglang	Apache-2.0	permissive	2026-09-23	gh api repos/sgl-project/sglang --jq '{full_name, license: .license, archived, fork, default_branch}' ; gh api 'repos/sgl-project/sglang/git/trees/main?recursive=1' (scan for nested LICENSE/COPYING and ee|enterprise|wl dirs)	tree scan: no non-permissive nested LICENSE and no ee/enterprise dir (third_party/vendor excluded)
ShishirPatil/gorilla	Apache-2.0	permissive	2026-09-23	gh api repos/ShishirPatil/gorilla --jq '{full_name, license: .license, archived, fork, default_branch}' ; gh api 'repos/ShishirPatil/gorilla/git/trees/main?recursive=1' (scan for nested LICENSE/COPYING and ee|enterprise|wl dirs)	tree scan: no non-permissive nested LICENSE and no ee/enterprise dir (third_party/vendor excluded)
stanfordnlp/dspy	MIT	permissive	2026-09-23	gh api repos/stanfordnlp/dspy --jq '{full_name, license: .license, archived, fork, default_branch}' ; gh api -H 'Accept: application/vnd.github.raw' repos/stanfordnlp/dspy/contents/dspy/clients/model_metadata/LICENSE ; gh api 'repos/stanfordnlp/dspy/git/trees/main?recursive=1' (scan for nested LICENSE/COPYING and ee|enterprise|wl dirs)	dspy/clients/model_metadata/LICENSE is vendored LiteLLM MIT text referencing an enterprise/ dir that does not exist in this repo; tree scan: no non-permissive nested LICENSE and no ee/enterprise dir (third_party/vendor excluded)
SuperMemoryAI/supermemory	MIT	permissive	2026-09-23	gh api repos/SuperMemoryAI/supermemory --jq '{full_name, license: .license, archived, fork, default_branch}' ; gh api 'repos/supermemoryai/supermemory/git/trees/main?recursive=1' (scan for nested LICENSE/COPYING and ee|enterprise|wl dirs)	GitHub full_name is supermemoryai/supermemory (case differs only); tree scan: no non-permissive nested LICENSE and no ee/enterprise dir (third_party/vendor excluded)
SWE-bench/SWE-bench	MIT	permissive	2026-09-23	gh api repos/SWE-bench/SWE-bench --jq '{full_name, license: .license, archived, fork, default_branch}' ; gh api 'repos/SWE-bench/SWE-bench/git/trees/main?recursive=1' (scan for nested LICENSE/COPYING and ee|enterprise|wl dirs)	tree scan: no non-permissive nested LICENSE and no ee/enterprise dir (third_party/vendor excluded)
tavily-ai/tavily-python	MIT	permissive	2026-09-23	gh api repos/tavily-ai/tavily-python --jq '{full_name, license: .license, archived, fork, default_branch}' ; gh api 'repos/tavily-ai/tavily-python/git/trees/master?recursive=1' (scan for nested LICENSE/COPYING and ee|enterprise|wl dirs)	tree scan: no non-permissive nested LICENSE and no ee/enterprise dir (third_party/vendor excluded)
temporalio/temporal	MIT	permissive	2026-09-23	gh api repos/temporalio/temporal --jq '{full_name, license: .license, archived, fork, default_branch}' ; gh api 'repos/temporalio/temporal/git/trees/main?recursive=1' (scan for nested LICENSE/COPYING and ee|enterprise|wl dirs)	tree scan: no non-permissive nested LICENSE and no ee/enterprise dir (third_party/vendor excluded)
TEN-framework/ten-framework	LicenseRef-TEN-Open-Source-License	permissive-with-conditions	2026-09-23	gh api repos/TEN-framework/ten-framework --jq '{full_name, license: .license, archived, fork, default_branch}' ; gh api repos/TEN-framework/ten-framework/license --jq .content | base64 -d ; gh api 'repos/TEN-framework/ten-framework/git/trees/main?recursive=1' (scan for nested LICENSE/COPYING and ee|enterprise|wl dirs)	API spdx_id NOASSERTION; LICENSE: "licensed pursuant to the Apache License v2.0 ... with the following additional conditions": "You may not (i) host the TEN Framework or the Derivative Works on any End User devices ... or (ii) Deploy the TEN Framework in a way that competes with Agora's offerings"; ai_agents/ is plain Apache-2.0; tree scanned for nested licenses/ee dirs
traceloop/openllmetry	Apache-2.0	permissive	2026-09-23	gh api repos/traceloop/openllmetry --jq '{full_name, license: .license, archived, fork, default_branch}' ; gh api 'repos/traceloop/openllmetry/git/trees/main?recursive=1' (scan for nested LICENSE/COPYING and ee|enterprise|wl dirs)	tree scan: no non-permissive nested LICENSE and no ee/enterprise dir (third_party/vendor excluded)
trycua/cua	MIT AND AGPL-3.0	permissive-with-conditions	2026-09-23	gh api repos/trycua/cua --jq '{full_name, license: .license, archived, fork, default_branch}' ; gh api -H 'Accept: application/vnd.github.raw' repos/trycua/cua/contents/libs/python/som/LICENSE ; gh api 'repos/trycua/cua/git/trees/main?recursive=1' (scan for nested LICENSE/COPYING and ee|enterprise|wl dirs)	root LICENSE.md MIT, but libs/python/som/LICENSE is GNU AFFERO GENERAL PUBLIC LICENSE v3 (network use of a modified som triggers source release); other libs/* MIT; tree scanned for nested licenses/ee dirs
UKGovernmentBEIS/inspect_ai	MIT	permissive	2026-09-23	gh api repos/UKGovernmentBEIS/inspect_ai --jq '{full_name, license: .license, archived, fork, default_branch}' ; gh api 'repos/UKGovernmentBEIS/inspect_ai/git/trees/main?recursive=1' (scan for nested LICENSE/COPYING and ee|enterprise|wl dirs)	tree scan: no non-permissive nested LICENSE and no ee/enterprise dir (third_party/vendor excluded)
unslothai/unsloth	Apache-2.0 AND AGPL-3.0	permissive-with-conditions	2026-09-23	gh api repos/unslothai/unsloth --jq '{full_name, license: .license, archived, fork, default_branch}' ; gh api repos/unslothai/unsloth/readme --jq .content | base64 -d ; gh api -H 'Accept: application/vnd.github.raw' repos/unslothai/unsloth/contents/COPYING ; gh api -H 'Accept: application/vnd.github.raw' repos/unslothai/unsloth/contents/unsloth/kernels/moe/LICENSE ; gh api 'repos/unslothai/unsloth/git/trees/main?recursive=1' (scan for nested LICENSE/COPYING and ee|enterprise|wl dirs)	dual-licensed: README "The core Unsloth package remains licensed under Apache 2.0, while certain optional components, such as the Unsloth Studio UI are licensed under ... AGPL-3.0"; COPYING and studio/LICENSE.AGPL-3.0 are AGPL-3.0; unsloth/kernels/moe/LICENSE (MoE grouped-GEMM kernels inside the core package tree) is also AGPL-3.0; tree scanned for nested licenses/ee dirs
verl-project/verl	Apache-2.0	permissive	2026-09-23	gh api repos/verl-project/verl --jq '{full_name, license: .license, archived, fork, default_branch}' ; gh api 'repos/verl-project/verl/git/trees/main?recursive=1' (scan for nested LICENSE/COPYING and ee|enterprise|wl dirs)	tree scan: no non-permissive nested LICENSE and no ee/enterprise dir (third_party/vendor excluded)
vespa-engine/vespa	Apache-2.0	permissive	2026-09-23	gh api repos/vespa-engine/vespa --jq '{full_name, license: .license, archived, fork, default_branch}' ; gh api 'repos/vespa-engine/vespa/git/trees/master?recursive=1' (scan for nested LICENSE/COPYING and ee|enterprise|wl dirs)	tree scan: no non-permissive nested LICENSE and no ee/enterprise dir (third_party/vendor excluded)
vllm-project/vllm	Apache-2.0	permissive	2026-09-23	gh api repos/vllm-project/vllm --jq '{full_name, license: .license, archived, fork, default_branch}' ; gh api 'repos/vllm-project/vllm/git/trees/main?recursive=1' (scan for nested LICENSE/COPYING and ee|enterprise|wl dirs)	tree scan: no non-permissive nested LICENSE and no ee/enterprise dir (third_party/vendor excluded)
weaviate/weaviate	BSD-3-Clause AND LicenseRef-Weaviate	permissive-with-conditions	2026-09-23	gh api repos/weaviate/weaviate --jq '{full_name, license: .license, archived, fork, default_branch}' ; gh api repos/weaviate/weaviate/license --jq .content | base64 -d ; gh api -H 'Accept: application/vnd.github.raw' repos/weaviate/weaviate/contents/wl/LICENSE-WEAVIATE ; gh api 'repos/weaviate/weaviate/git/trees/main?recursive=1' (scan for nested LICENSE/COPYING and ee|enterprise|wl dirs)	API spdx_id NOASSERTION; open core, dual-licensed: LICENSE "Outside of the 'wl' directory ... BSD-3-Clause"; "Within the 'wl' directory ... Weaviate license"; wl/LICENSE-WEAVIATE: "All rights reserved."; wl features run only with LICENSE_KEY, "When neither is set ... only BSD-3-Clause-licensed code is executed"; tree scanned for nested licenses/ee dirs
web-arena-x/webarena	Apache-2.0	permissive	2026-09-23	gh api repos/web-arena-x/webarena --jq '{full_name, license: .license, archived, fork, default_branch}' ; gh api 'repos/web-arena-x/webarena/git/trees/main?recursive=1' (scan for nested LICENSE/COPYING and ee|enterprise|wl dirs)	tree scan: no non-permissive nested LICENSE and no ee/enterprise dir (third_party/vendor excluded)
xlang-ai/OSWorld	Apache-2.0	permissive	2026-09-23	gh api repos/xlang-ai/OSWorld --jq '{full_name, license: .license, archived, fork, default_branch}' ; gh api 'repos/xlang-ai/OSWorld/git/trees/main?recursive=1' (scan for nested LICENSE/COPYING and ee|enterprise|wl dirs)	tree scan: no non-permissive nested LICENSE and no ee/enterprise dir (third_party/vendor excluded)
